"Question","File","TPS","InputTokens","OutputTokens","ReasoningTokens","TTFT_sec","Elapsed_sec","Status"
"1","q1.txt","47.666","232","35319","29863","0.243","743.287","OK"
"2","q2.txt","52.05","1567","4706","3718","1.185","91.843","OK"
"3","q3.txt","51.485","3370","4530","2365","2.508","90.577","OK"
"4","q4.txt","52.669","30","4306","643","0.077","81.925","OK"
