"Question","File","TPS","InputTokens","OutputTokens","ReasoningTokens","TTFT_sec","Elapsed_sec","Status"
"1","q1.txt","23.336","274","33997","32644","48.015","1504.873","OK"
"2","q2.txt","25.415","1609","6220","5440","186.418","431.632","OK"
"3","q3.txt","23.596","3412","18837","12934","347.409","1146.082","OK"
"4","q4.txt","24.789","72","24950","20477","22.712","1029.587","OK"
