"Question","File","TPS","InputTokens","OutputTokens","ReasoningTokens","TTFT_sec","Elapsed_sec","Status"
"1","q1.txt","43.2","232","41717","40645","1.505","969.27","OK"
"2","q2.txt","39.568","1567","1433","874","3.072","39.585","OK"
"3","q3.txt","38.008","3370","2544","822","5.901","72.915","OK"
"4","q4.txt","45.051","30","5808","375","0.347","129.377","OK"
