"Question","File","TPS","InputTokens","OutputTokens","ReasoningTokens","TTFT_sec","Elapsed_sec","Status"
"1","q1.txt","36.897","232","6385","5101","1.398","176.5","OK"
"2","q2.txt","36.98","1567","523","522","4.794","18.989","OK"
"3","q3.txt","35.986","3370","4202","2569","10.562","127.412","OK"
"4","q4.txt","37.075","30","6201","109","0.312","167.627","OK"
