"Question","File","TPS","InputTokens","OutputTokens","ReasoningTokens","TTFT_sec","Elapsed_sec","Status"
"1","q1.txt","46.556","232","37717","36580","1.394","813.597","OK"
"2","q2.txt","43.563","1567","2210","1642","4.505","55.45","OK"
"3","q3.txt","42.455","3370","3169","1596","9.06","83.782","OK"
"4","q4.txt","50.612","30","7069","259","0.305","140.072","OK"
